Country (or dependency),Population (2020),Net Change,Density (P/Km²),Land Area (Km²),Fert. Rate,Med. Age
Samoa,198643,1317,70,2830,3.9,22
Saint Lucia,183774,837,301,610,1.4,34
Channel Islands,174140,1604,915,190,1.5,43
Guam,169031,1481,313,540,2.3,31
Curaçao,164211,669,370,444,1.8,42
Kiribati,119760,1843,147,810,3.6,23
Micronesia,115231,1208,164,700,3.1,24
Grenada,112614,520,331,340,2.1,32
St. Vincent & Grenadines,111002,351,284,390,1.9,33
Aruba,106845,452,593,180,1.9,41
Tonga,105901,1201,147,720,3.6,22
U.S. Virgin Islands,104398,-153,298,350,2,43
Seychelles,98453,608,214,460,2.5,34
Antigua and Barbuda,98069,811,223,440,2,34
Isle of Man,85112,449,149,570,,
Andorra,77287,123,164,470,,
Dominica,72017,178,96,750,,
Cayman Islands,65854,774,274,240,,
Bermuda,62237,-228,1246,50,,
Marshall Islands,59259,399,329,180,,
Northern Mariana Islands,57619,343,125,460,,
Greenland,56787,98,0,410450,,
American Samoa,55169,-121,276,200,,
Saint Kitts & Nevis,53264,376,205,260,,
Faeroe Islands,48896,185,35,1396,,
Sint Maarten,42960,488,1261,34,,
Monaco,39290,278,26337,1,,
Turks and Caicos,38806,526,41,950,,
Saint Martin,38778,664,730,53,,
Liechtenstein,38147,109,238,160,,
San Marino,33944,71,566,60,,
Gibraltar,33689,-10,3369,10,,
British Virgin Islands,30266,201,202,150,,
Caribbean Netherlands,26265,244,80,328,,
Palau,18109,86,39,460,,
Cook Islands,17567,16,73,240,,
Anguilla,15026,134,167,90,,
Tuvalu,11817,146,393,30,,
Wallis & Futuna,11203,-193,80,140,,
Nauru,10836,68,541,20,,
Saint Barthelemy,9882,30,470,21,,
Saint Helena,6080,18,16,390,,
Saint Pierre & Miquelon,5789,-28,25,230,,
Montserrat,4993,3,50,100,,
Falkland Islands,3497,103,0,12170,,
Niue,1628,11,6,260,,
Tokelau,1360,17,136,10,,
Holy See,801,2,2003,0,,
